Author,Total_Papers,Collaboration_Papers,Collaboration_Rate
"Zhao, Nina W.",3,2,0.6667
"Zheng, Xintong",1,0,0.0
"Wang, Ray",1,0,0.0
"Hong, Yi",1,0,0.0
"Pang, Alexis",1,0,0.0
"Hong, Wonjoon",3,1,0.3333
"Long, Joan",1,0,0.0
"Zhang, Ming",1,0,0.0
"Tang, Chun M.",1,0,0.0
"Liu, Regina",1,0,0.0
"Rao, Gururajaprasad Kaggal Lakshmana",1,0,0.0
"Chen, Kevin P.",1,1,1.0
"Hu, Jingtong",1,1,1.0
"Cui, Mingji",1,0,0.0
"Li, Descartes",1,0,0.0
"Chen, Judy",2,1,0.5
"Du, Fengning",1,1,1.0
"Tan, Shuyuan",1,0,0.0
"Sun, Jin'ai",1,0,0.0
"Chen, Liang Hsuan",1,0,0.0
"Ling, Daphne, I",1,0,0.0
"Feng, Yaohua",1,1,1.0
"Wang, Hui-Hui",1,1,1.0
"Hang, Mah C.",1,0,0.0
"Shi, Yuran",1,0,0.0
"Liu, Shan W.",1,0,0.0
"Wu, Barry",1,0,0.0
"Chen, Yihua",1,0,0.0
"Kang, Esther ShinHyun",1,0,0.0
"Lin, Cheng-Yu",1,0,0.0
"Wang, Amanda",1,0,0.0
"Zhang, Donglan",1,1,1.0
"Gao, Virginia",1,0,0.0
"Luo, Zhanni",2,0,0.0
"Min, Jason",3,0,0.0
"Shi, Lu",5,2,0.4
"Han, Zhe",2,1,0.5
"Xiang, Yuanyuan",1,0,0.0
"Cao, Anxo",1,0,0.0
"Chong, Felicity",1,1,1.0
"Hou, Lachlan",1,1,1.0
"Xu, Dan",1,1,1.0
"Lang, Nora",1,0,0.0
"Wei, Xiangyin",1,0,0.0
"Yu, James B.",1,0,0.0
"Liu, Pingzhou",1,0,0.0
"Tan, Giles Ming-Yee",2,1,0.5
"Chen, Mei Jun",1,0,0.0
"Zhao, Yuan",5,2,0.4
"Hui, W.",1,0,0.0
"Wang, Jean",1,0,0.0
"Liu, Cyril",1,0,0.0
"Rao, Shreelatha",2,1,0.5
"Liu, Yulin",1,0,0.0
"Yuan, Zheng Orvim",1,0,0.0
"Hong, Bee Teng",1,1,1.0
"Pang, Chun Ding",1,1,1.0
"Lin, Janet",2,0,0.0
"Cheng, Michelle Y.",1,1,1.0
"Wang, Jenny Z.",1,1,1.0
"Han, Jeongyun",2,0,0.0
"Chen, Szu-Yu",2,0,0.0
"Rao, Rashmi Raghava",1,0,0.0
"Chang, Bernard S.",2,0,0.0
Vo Thi Tra An,1,0,0.0
"Hu, Wendy C-Y",2,0,0.0
"Lin, Le",2,0,0.0
"Wan, Siu Hong",1,0,0.0
"Xu, Zheng",1,0,0.0
"Cheng, Maurice Man Wai",3,0,0.0
"Chen, Jennifer S.",2,0,0.0
"Hu, Wendy Chung-Ya",2,0,0.0
"Yang, Connie Y.",1,0,0.0
"Wei, Yan",1,0,0.0
"Yun, Eunjeong",1,0,0.0
"Wang, Yunxia",1,0,0.0
"Yuan, Kun",2,0,0.0
"Le, Le Thi Viet Ha",1,0,0.0
"Gong, Angela Z.",1,1,1.0
"Huang, Xin",1,1,1.0
"Yan, Elsa C. Y.",1,1,1.0
"Xuan, Yueqing",1,0,0.0
"Li, Sophia",1,0,0.0
"Li, Liming",1,1,1.0
"Wang, Wenjie",2,0,0.0
"An, Jiwoo",4,0,0.0
"Cheng, Katherine C.",2,0,0.0
"Liu, Fengjie",1,0,0.0
"Tang, Ying",3,0,0.0
"Hu, Sailong",1,0,0.0
"Lou, Anna J.",1,0,0.0
"Jiang, Yang",3,2,0.6667
"Tan, Tong Sheng",1,0,0.0
"Chai, Audrey L.",1,0,0.0
"Dong, Junghwan Kevin",2,1,0.5
"Zhang, Peter",1,1,1.0
"Ye, Sangbeak",1,0,0.0
"Wei, Flora Liuying",1,0,0.0
"Chong, Alan",1,0,0.0
"Yuan, Yubai",1,0,0.0
"Wang, Yurou",3,1,0.3333
"Ha, Jung-Eun",1,1,1.0
"Hong, Su-Min",1,1,1.0
"Kang, Kyung-Hee",1,1,1.0
"Liu, Minhui",1,0,0.0
"Luo, Kehui",1,0,0.0
"Yun, Stacy W.",1,0,0.0
"Sun, Yi",2,0,0.0
"Pang, Elaine L. L.",1,0,0.0
"Sun, Chen",2,0,0.0
"Zhang, Charlene",2,0,0.0
"Ding, Ann",1,0,0.0
"Hong, Jonathan",1,0,0.0
"LOU, N. I. G. E. L. M. A. N. T. O. U.",1,0,0.0
"Wen, Dunwei",1,0,0.0
"Ha, Seung Yon",1,1,1.0
"Kang, Kyung Im",2,0,0.0
"Long, Casey M.",1,0,0.0
"Yang, Emmy",1,0,0.0
"Liu, Jenny J. W.",1,0,0.0
"Tong, Ruyi",1,0,0.0
"Wang, Chao",1,0,0.0
"Huang, Yu",1,1,1.0
"Li, Zhengjie",1,0,0.0
"Cui, Tristan",1,0,0.0
"Tian, Feng",1,0,0.0
"Ban, Ruth A.",1,0,0.0
"Chen, Julian ChengChiang",2,0,0.0
"Tan, Shannon",3,0,0.0
"Lu, Shulan",1,0,0.0
"Liang, Zhen Chang",1,1,1.0
"Wang, Wilson",1,1,1.0
"Feng, Shi",1,0,0.0
Thi Kim Anh Dang,1,0,0.0
"Wu, Lingli",3,0,0.0
"Ma, Yanxia A.",1,0,0.0
"Chen, Dandan",1,0,0.0
"Sun, Qiang",1,0,0.0
"Zhong, Min",4,0,0.0
"Jiang, Yong-hui",1,1,1.0
"Luo, Huabin",1,1,1.0
"Chen, Guanhua",1,1,1.0
"Wang, Dan-Ping",3,1,0.3333
"Liu, Xiaoli",1,0,0.0
"Wang, Ying Xian",5,5,1.0
"Zhang, Yu",1,0,0.0
"Kang, Sung 'Pil'",5,3,0.6
"Zhao, Qiwen",1,0,0.0
"Tan, Mine G.",2,0,0.0
"Du, Yang",3,2,0.6667
"Wang, Xiao Ting",1,0,0.0
"Li, Yibai",1,0,0.0
"Song, Xiaomei",2,0,0.0
"Ha, Young",1,0,0.0
"Liu, Shuangyuan Michael",1,0,0.0
"Huang, Rui",4,3,0.75
"Li, Jingwei",1,1,1.0
"Zhu, Jiawen",2,2,1.0
"Hou, Dongchen",1,1,1.0
"Ha, Kotdaji",1,0,0.0
"Xu, Zhen",3,1,0.3333
"Chen, Diana A.",3,0,0.0
"Chang, Seung Ho",1,0,0.0
"Chong, David H.",1,1,1.0
"Shen, Sherry",1,1,1.0
"Fan, Jason",3,0,0.0
"Yang, Ju",1,1,1.0
"Zhang, Qingyi",2,1,0.5
"Hong, Hun-Gi",5,2,0.4
"Rao, Vivek",1,0,0.0
"Hong, Jiye",1,0,0.0
"Ji, Kaiying",3,1,0.3333
"Xie, Mingrou",1,1,1.0
"Tan, Boon See",1,0,0.0
"Lin, Shu-Wen",1,0,0.0
"Long, Lindsey J.",2,2,1.0
"Cheng, Corey",1,1,1.0
"Shi, Sandra",1,1,1.0
"Li, Xian (Stella)",1,1,1.0
"Ren, Jolie",2,2,1.0
"Yin, Jingjing",1,1,1.0
"Zhou, Xiaolu",1,1,1.0
"Li, Tong",5,3,0.6
"Si, Luo",1,1,1.0
"Liu, Ming",1,0,0.0
"Zhu, Catherine",1,0,0.0
"Er, Mustafa",1,0,0.0
"Teng, Siao See",2,0,0.0
"Lu, Libing",1,0,0.0
"Long, Ashley N.",1,1,1.0
"Wang, Tianyi",3,1,0.3333
"Han, Jinny E.",1,0,0.0
"Lang, Fabian",2,0,0.0
"Kang, Younah",1,0,0.0
"Zhang, Barbara Ying",1,0,0.0
"Tan, Tanya Y.",1,0,0.0
"Chen, Esther H.",1,0,0.0
"Xie, Hui",2,1,0.5
"Yang, Hui",2,1,0.5
"Yin, C. J.",1,0,0.0
"Peng, Iris",2,2,1.0
"Li, Zihao",1,0,0.0
"Wang, Jianlan",4,1,0.25
"Yun, Hongoak",1,0,0.0
"Yang, Jinyu",1,0,0.0
"Chen, Yu",5,2,0.4
"Ling, Joyce Hwee Ling Hwee",1,0,0.0
"Zhu, Liang",1,0,0.0
"Shen, Ye (Sandy)",1,0,0.0
"Li, Huafang",1,0,0.0
"Lin, Tiffany",1,1,1.0
"Bi, Fandi",1,0,0.0
"Shi, Xin",1,0,0.0
"Feng, Yanan",2,0,0.0
"Hui, Bronson",6,0,0.0
"Chen, Fu",1,1,1.0
"Lang, Daniel Lindbergh",1,0,0.0
"Tan, Desiree",1,0,0.0
"Yi, Jacqueline",5,0,0.0
"Wang, Linlin",2,0,0.0
"Chong, David",2,0,0.0
"Nong, Alan",1,0,0.0
"Tan, Lisa",1,0,0.0
"Li, Pei-Jung",1,1,1.0
"Lin, Pei-Yi",2,1,0.5
"Bian, Xinyi",1,1,1.0
"Guan, Guangzhao",1,1,1.0
"Mei, Li",1,1,1.0
"Shen, Julia W.",1,0,0.0
"Chen, Fun Gee",1,0,0.0
"Deng, Xin",1,0,0.0
"Liu, Hairui",4,0,0.0
"Han, Hyeongjong",1,0,0.0
"Jiang, Weiwei",1,1,1.0
"Han, Jinyoung",1,0,0.0
"Chang, Cyril F.",1,0,0.0
Nguyen Xuan Hong,1,0,0.0
"Qiang, Zhe",4,1,0.25
"Xue, Xuejia",1,0,0.0
"Chu, Jowe",1,0,0.0
"Long, Holly",13,0,0.0
"Liu, Vivian Yuen Ting",5,0,0.0
"Zhou, Chun",2,0,0.0
"Sang, Yuan",1,1,1.0
"Zhou, Shiyao (Ashlee)",1,1,1.0
"Jia, Fan",2,1,0.5
"Luo, Feiya",2,0,0.0
Tu Cam Thi Dang,1,0,0.0
"Xue, Lina",1,0,0.0
"Gao, Catherine Yuan",1,0,0.0
"Zhang, Xiaowan",1,0,0.0
"Yan, Yueqi",2,0,0.0
"Rao, Anusha S.",1,0,0.0
"Long, Jeff",1,0,0.0
"Wang, Xinjue Rachel",1,1,1.0
"Ye, Chen",1,1,1.0
"Wen, Xiaohong",1,0,0.0
"Xuan, Di",1,0,0.0
"Shi, Wanzhu",2,0,0.0
"Cheng, Jie",1,0,0.0
"Chang, Paul",1,0,0.0
"Chang, Eunbi",3,0,0.0
"Chang, Doreen",1,0,0.0
"Cheng, Youdong",1,1,1.0
"Shi, Dongchen",1,1,1.0
"Yuan, Yi Di",1,1,1.0
"Zhao, Dan",3,1,0.3333
"Yin, Zhaoyi",1,0,0.0
"Li, Ling",2,0,0.0
"Hong, Joan J.",1,0,0.0
"Yu, Eun-Jeong",1,0,0.0
"Peng, Xiaobo",1,0,0.0
"Fan, Qin",1,1,1.0
"Liang, Jiaochen",1,1,1.0
"Yang, Il Ho",1,0,0.0
"Qi, Baomin",1,1,1.0
"Wang, T. Chengbo",1,1,1.0
"Zhang, Yanjie",1,0,0.0
"Sun, Ting",6,1,0.1667
"Zheng, Yinglan",1,0,0.0
"Fan, Xumei",5,2,0.4
"Wu, Shenghua",1,1,1.0
"Long, Jacob W.",1,1,1.0
"Wu, Bobby",1,1,1.0
"Lin, Qiao",1,1,1.0
"Tang, Xiaodan",2,2,1.0
"Wan, Yan",1,1,1.0
"Zhang, Meirong",1,1,1.0
"Ye, Xiaomeng",1,0,0.0
"Dai, Shenghai",4,1,0.25
"Lu, Kelun",1,0,0.0
"Luan, Xi",1,0,0.0
"Yuan, Chengan",2,2,1.0
"Han, Selina",1,0,0.0
"Chong, Sin Wang",7,2,0.2857
"Liang, Weihong",1,0,0.0
"Li, Linlin",1,0,0.0
"Xu, Xicheng",1,0,0.0
"Miao, Ruolin E.",1,0,0.0
"Yao, Xiangquan",3,0,0.0
"Bu, Liping",1,0,0.0
"Shen, Ying Wang",2,0,0.0
"Hong, Chang Ki",1,0,0.0
"Wang, Xi",3,3,1.0
"Xu, Shangmou",2,1,0.5
"Ju, Young-Gu",1,0,0.0
"Wang, Suki",1,0,0.0
"Liu, Yu",4,1,0.25
"Ni, Anna",4,3,0.75
"Er, Hui Meng",7,1,0.1429
"Cao, Zihuan",1,0,0.0
"Chen, Yingjie",2,2,1.0
"Lei, Qingli",5,2,0.4
"Liu, Bingyu",1,1,1.0
"Ma, Xiaojun",1,1,1.0
"Wei, Shuang",1,1,1.0
"Yang, Xuan",1,1,1.0
"Chen, Zi",2,0,0.0
"Liu, Xu",1,0,0.0
"Jiang, Chen",1,1,1.0
"Zhou, Shiyao",1,1,1.0
"Weng, Tsung-han",1,0,0.0
"Tang, Rachel",1,0,0.0
"Chen, Yawei",1,1,1.0
"Qu, Lei",1,1,1.0
"Chen, Zixi",2,2,1.0
"Liu, Yuqing",1,1,1.0
"Chen, Michelle Y.",1,1,1.0
"Yang, Sophia",1,0,0.0
"Yuan, Ke-Hai",2,0,0.0
"Guan, Jianmin",4,3,0.75
"Hu, Yi-Han",1,1,1.0
"Shen, Brenda",1,0,0.0
"Wang, Lillian-Yee-Kiaw",2,0,0.0
"Tan, Meng Yoe",1,1,1.0
"Yang, Lin",1,1,1.0
"Zhou, Wenjun",3,0,0.0
"Chen, Lizhen",1,1,1.0
"Zhang, Zhanjia",2,2,1.0
"Dai, Kun",1,0,0.0
"Gu, Tingting",1,1,1.0
"Zhou, Xiaogao",1,1,1.0
Nguyen Ngoc Long,1,0,0.0
"Shan, Hairong",2,0,0.0
"Zhang, Siqi",1,1,1.0
"Zhou, Joy",1,0,0.0
"Zhu, Dan",1,0,0.0
"Cheng, Breagh",1,0,0.0
"Wang, Qiao",3,1,0.3333
"Wan, Xinke",1,0,0.0
"Huo, Yuen J.",1,1,1.0
"Ni, H. Wenwen",1,1,1.0
"Lin, Shu-Chiang",2,0,0.0
"Lu, Shirley",1,0,0.0
"Chang, Sharon",3,0,0.0
"Kang, In Gu",1,0,0.0
"An, Tuyin",1,1,1.0
"Yi, Ji Soo",1,1,1.0
"Ju, Boreum",1,1,1.0
"Tong, Xiaoping",1,1,1.0
"Lang, Kyle M.",1,0,0.0
"Xu, Pei",1,0,0.0
"Han, Rui",1,0,0.0
"Gu, Jerry",1,0,0.0
"Huang, Siqi",3,0,0.0
"Kang, Joss",1,0,0.0
"Zhu, Toby",1,0,0.0
"Chang, Karin",1,0,0.0
"Zhang, You",7,2,0.2857
"Jia, Qian",1,0,0.0
"Lei, Yuyun",1,1,1.0
"Chen, Ting Zhou",1,0,0.0
"Hong, Ji In",1,1,1.0
"Hong, Junyoung",1,1,1.0
"Tan, Kelvin",3,1,0.3333
"Ye, Sofie",2,0,0.0
"Wei, Xiaoxia",2,0,0.0
"Lian, Zi",1,0,0.0
"Liu, Danny Y. T.",1,0,0.0
"Luo, Jiaqi",1,0,0.0
"Gao, Xuesong (Andy)",13,4,0.3077
"Liu, Xiaomei",1,0,0.0
"Yuan, Min",1,0,0.0
"Hao, Xuefei",1,0,0.0
"Wang, Yangyang",1,0,0.0
"Guo, Wenhong",1,1,1.0
"Min, Yue",1,1,1.0
"Wang, Zhuoying",3,3,1.0
"Song, Brian",1,0,0.0
"Lei, Xiaojing",1,0,0.0
"Guan, Shu-Sha Angie",3,1,0.3333
"Hu, Chih-Yang",1,0,0.0
"Wang, Yiben",1,0,0.0
"Liu, Jiangqiong",1,0,0.0
"Lu, Zhenqiu",1,1,1.0
"Zheng, Hua",4,3,0.75
"Tu, Wei-Mo",2,2,1.0
"Wu, Jia-Rung",1,1,1.0
"Chen, Meiren",1,0,0.0
"Wang, Rui",2,0,0.0
"Xiao, Jiaying",2,0,0.0
"Wang, Xianyong",1,1,1.0
"Liu, Yiyang",1,0,0.0
Zhang Ye,1,0,0.0
"Yu, Hyeonho",1,0,0.0
"Tan, Teck Kiang",3,0,0.0
"Lin, Emily",2,2,1.0
"Huang, Shiwei",1,0,0.0
"Rao, Shridevi",1,0,0.0
"Li, Hui",3,3,1.0
"Yang, Weipeng",1,1,1.0
"Li, Jui-Teng",1,0,0.0
"Yang, Christopher C. Y.",4,0,0.0
"Gu, Yongqi",1,0,0.0
"Chen, Chia-Wen",1,0,0.0
"Chai, Dae Seok",2,1,0.5
"Wang, Chih-Wei",1,1,1.0
Van-Quy Le,1,0,0.0
"Peng, Qingjin",1,0,0.0
"Jing, Xiaoli",2,1,0.5
Hoang-Van Ha,1,0,0.0
"Jing, Mengguo",2,1,0.5
"Li, Amy",1,0,0.0
"Guo, Jiajun",1,0,0.0
"Rao, Dhawaleswar C. H.",1,0,0.0
"She, Minnie Heep Ching",1,0,0.0
"Song, Yosung",1,0,0.0
"Chen, Katherine",1,1,1.0
"Hou, Barbara",1,1,1.0
"Lu, Lilly",1,0,0.0
"Zhou, Yijun",2,2,1.0
"Heng, Kimkong",8,1,0.125
"Yang, Yesol",1,0,0.0
"Huang, Zhengyan",1,0,0.0
"Liu, Arkie Yaxi",1,0,0.0
"An, Zhe Gigi",1,1,1.0
"Guan, Chunlan",1,1,1.0
"Sun, Anna Q.",1,1,1.0
"Dai, Zhaihuan",3,3,1.0
"Liu, Yi Hui Angella",1,0,0.0
"Liu, Minnie",2,0,0.0
"Liu, Kangying",1,0,0.0
"Xing, Fei",1,0,0.0
"Chang, Connie Y.",1,1,1.0
"Le, Annie",2,1,0.5
"Yang, Jia",1,0,0.0
"Sun, Mingda",1,0,0.0
"Li, Wanjing",1,1,1.0
"Zhang, Haipeng",1,0,0.0
"Liu, Pei Pei",2,0,0.0
"Chen, Huan",3,2,0.6667
"Li, Yi-Fan",2,1,0.5
"Min, Hyounae (Kelly)",1,0,0.0
"Yan, Yu",3,2,0.6667
"Hu, Jingchen",2,0,0.0
"Zhou, Shu",1,1,1.0
"Wang, Bin",1,0,0.0
"Meng, Paul",1,0,0.0
"Liang, Yunying",1,1,1.0
"Tian, Xiaomeng",1,1,1.0
"Wang, Ze",1,1,1.0
"Hu, Xinye",4,4,1.0
"Zhang, Liping",1,0,0.0
"Shan, Shiliang",1,0,0.0
"Sun, Evelyn",2,0,0.0
"Yang, Ying",3,0,0.0
"Wu, Yi Chen",1,1,1.0
"Zhu, Qiong",4,2,0.5
"Tan, Kim B.",1,0,0.0
"Chen, Wei-Lin",1,0,0.0
"Wang, N. Ewen",1,0,0.0
"Zhen, Willa",1,0,0.0
"Wu, Shiyou",1,1,1.0
"Chen, Wang Su",1,0,0.0
"Liu, Jacky Ka Kei",2,0,0.0
"Bai, Ji Dong K.",1,0,0.0
"Chang, Kyungro",1,0,0.0
"Jin, Min-Woo",1,0,0.0
"Tan, Stella Wei Ling",1,0,0.0
"Jiang, Shanshan",1,0,0.0
"Chen, Weichao",4,0,0.0
"Miao, Haoqian",1,0,0.0
"Gu, Peter Yongqi",4,2,0.5
"Wang, Xiaoyin",1,0,0.0
"Yun, Jung Ah (Claire)",1,0,0.0
"Le, Seung Hyun (Jenna)",1,0,0.0
"Xian, Junyang",1,0,0.0
"Deng, William",1,0,0.0
"Chen, Elaine",1,1,1.0
"Nian, Wang",1,1,1.0
"Ma, Vera Wei",1,0,0.0
"Jian, Zixin",1,0,0.0
"Cao, Yi",1,0,0.0
"Liu, Xiqian",1,0,0.0
"Tang, Marc",1,0,0.0
"Liang, Eva",2,0,0.0
"Song, Ah-Young",1,0,0.0
"Luo, Yifeng",1,1,1.0
"Zhou, Rachel Yang",1,1,1.0
"Wen, Christine",1,0,0.0
"Mao, Zixin",1,0,0.0
"Yan, Junpeng",1,0,0.0
"Zhang, Yi Jenny",1,0,0.0
"Rao, Kamakshi V.",2,1,0.5
"Xiao, Kevin",2,0,0.0
"Han, Luyi",1,0,0.0
"Yun, Joonkoo",2,0,0.0
"Shi, Qingmin",2,0,0.0
"Wu, Chun",1,0,0.0
"Tan, Song Wei Benjamin",1,0,0.0
"Song, Yang",1,0,0.0
"Wang, Xinran S.",1,0,0.0
"Cheng, Derrick L.",1,1,1.0
"Tang, Kevin S.",1,1,1.0
"Wu, Wen-Chih",1,1,1.0
"Huang, Li",1,0,0.0
"Zhang, Abigail",1,0,0.0
"Bai, Jihong",1,1,1.0
"Yu, Gracia Fe B.",5,0,0.0
"Liu, Peng",1,0,0.0
"Duan, Siyu",1,0,0.0
"Wang, Lizhou",3,1,0.3333
"Dai, Ruxi",1,0,0.0
"Yu, Ted H.",1,0,0.0
"Kang, Soyeon",1,0,0.0
"Shen, Yanhua",4,1,0.25
"Hui, Felix Kin Peng",2,1,0.5
"Lang, Susan",1,0,0.0
"Kong, Ying",1,0,0.0
"Zhang, Hongyang",2,0,0.0
"Chen, Pujun",1,1,1.0
"Li, Junmin",3,1,0.3333
"Xue, Yunlin",1,0,0.0
"Tan, Consilz",1,0,0.0
"Zheng, Meixun",2,0,0.0
"Tong, Michelle S.",2,0,0.0
"Tian, Fang",1,0,0.0
"Yu, Catherine",2,1,0.5
"Yin, Shonna",1,0,0.0
"Zan, Burcu Umut",1,0,0.0
"Chen, Sarah",2,0,0.0
"Song, Sejun",1,0,0.0
"Wang, Yanbing",3,1,0.3333
"Yu, Mong-Lin",5,0,0.0
"Tang, Diana",1,0,0.0
"Cheng, Xiaoyue",1,0,0.0
"Lin, Frances F.",1,0,0.0
"Feng, Lei",2,0,0.0
"Ma, Xiao Yin",1,1,1.0
"Wen, Fei",1,1,1.0
"Fu, Sue",1,0,0.0
"Lin, Matthew Y. C.",4,1,0.25
"Ye, Xiaoyang",7,2,0.2857
"Liu, Fei-Fei",1,0,0.0
"Zhang, Danyang",1,0,0.0
"Le, Thomas K.",1,1,1.0
"Li, Taibo",1,1,1.0
"Pang, Sharon",1,1,1.0
"Zhang, George Q.",1,1,1.0
"Lu, William",1,1,1.0
"Peng, Cynthia R.",1,1,1.0
"Shui, Amy",1,0,0.0
"Deng, Mimi",1,0,0.0
"Wu, X. Ben",1,0,0.0
"Kang, Suyeon",1,1,1.0
"Yang, You Lee",1,1,1.0
"Wu, June K.",1,0,0.0
"Kou, Maybelle",3,1,0.3333
"Liu, Chang",2,1,0.5
"Dang, Devra Khanh",2,2,1.0
"Ma, Qing",1,1,1.0
"Ju, Mindy",2,0,0.0
"Tang, Alice J.",1,0,0.0
"Liao, Nancy",1,0,0.0
"Nie, Luke",1,0,0.0
"Hu, Katherine",1,0,0.0
"Wang, Libing",1,0,0.0
"Xu, Luyao",2,0,0.0
"Tan, Julianne Wen-Li",1,0,0.0
"Cui, David",1,0,0.0
"Zhou, Cecilia",1,0,0.0
"Tan, Wai Kian",1,0,0.0
"Lin, Samuel J.",1,0,0.0
"Yu, Alec",1,0,0.0
"Huang, Xuemei",3,0,0.0
"Ren, Ronnie Kuo",1,0,0.0
"Xiang, David",1,0,0.0
"Zhong, Qing",2,0,0.0
"Zhang, Weihua",1,0,0.0
"Gong, Yu Hua",1,0,0.0
"Luo, Lucy",1,0,0.0
"Deng, Jiayi",1,0,0.0
"Huang, Henry",2,1,0.5
"Wang, Zhujiang",1,0,0.0
"Tan, Eelin",1,0,0.0
"Kou, Yangming",2,2,1.0
"Peng, Xiayu",1,1,1.0
"Huang, Kelly",2,0,0.0
"Ding, Leona",2,2,1.0
"Feng, Shu",2,2,1.0
"Yi, Jonathan S.",2,2,1.0
"Wu, Jiaping",1,0,0.0
"Tan, Marietta",2,2,1.0
"Zhou, Nancy J.",2,2,1.0
"Li, Yangqiuting",13,4,0.3077
"Hu, Sarah K.",1,0,0.0
"Cai, Liping",1,1,1.0
"Huang, Zhenhua",1,1,1.0
"Liu, Michelle",1,0,0.0
"Chen, Amanda Y.",1,0,0.0
"Song, Mi Ryoung",1,1,1.0
"Yang, Min Jae",1,1,1.0
"Yu, Ji Hye",1,1,1.0
"Zhang, Sigong",1,0,0.0
"Rao, Shalinee",2,0,0.0
"Hui, Sara",2,1,0.5
"Zhou, Sindiso",1,0,0.0
"Liu, Ariel",1,0,0.0
"Song, Sam",1,0,0.0
"Tan, Shin Yen",1,0,0.0
"Xie, Lillian",1,0,0.0
"Tong, Xin",1,0,0.0
"Chen, Anders",1,1,1.0
"Wu, Chenwei",1,1,1.0
"Zhu, Zhiwei",1,0,0.0
"Yang, Shiyu",1,0,0.0
"Qin, Tina",1,0,0.0
"Dang, Huu Phuc",1,0,0.0
"Miao, Michael",1,0,0.0
"Zhang, Cathy",1,1,1.0
"Hua, Henry",2,0,0.0
"Zhang, Qisheng",1,0,0.0
"Lin, Yuqi",4,1,0.25
"Duanmu, Youyou",2,1,0.5
"Ma, Leanne",1,1,1.0
"Chang, Judy C.",2,0,0.0
"Lai, Jonathan",1,1,1.0
"Song, Christopher, I",1,1,1.0
"Zhou, Ashley",1,1,1.0
"Tan, Choon Yong Alex",1,0,0.0
"Li, Chris",1,0,0.0
"Dang, Rebecca",1,1,1.0
"Huang, Simon",2,1,0.5
"Hui, Jeanette",1,0,0.0
"Tan, Yanyu",1,0,0.0
"Tan, Esther",1,0,0.0
"Sun, Kyung Hoon",1,0,0.0
"Song, Chi Eun",1,0,0.0
"Gan, Wan Ying",1,0,0.0
"Wan, Li Li",1,0,0.0
"Ha, Jeongmin",1,0,0.0
"Zhu, Yicong",2,1,0.5
"Li, Han A.",1,0,0.0
"Liu, Benjamin Y.",1,0,0.0
"Chen, Chiahui",1,0,0.0
"Huang, Robert",1,1,1.0
"Liu, Rachel B.",2,2,1.0
"Wu, Chuhao",3,0,0.0
"Chen, Danling",1,1,1.0
"Wang, Min Chih",1,0,0.0
"Li, Katherine S.",1,0,0.0
"Zhang, Kate",1,0,0.0
"Su, Ahmet",2,0,0.0
"Cao, Ling",1,0,0.0
"Chen, John",2,0,0.0
"Liu, Shuyi",2,2,1.0
"Wang, Karen",1,0,0.0
"Wu, Qiuyan",1,0,0.0
"Du, Hongcui",3,0,0.0
"Rao, Pradyumna",1,0,0.0
"Hong, Houlin",1,0,0.0
"Cheng, Xiaochun",1,0,0.0
"Chao, Conrad R.",1,0,0.0
"Hong, Jung Eui",1,0,0.0
Tran Van Hai,1,1,1.0
Vu Thuy Ha,1,1,1.0
"Ling, Brenton",1,0,0.0
"Chen, Andrew",1,0,0.0
"Ling, Celine S.",1,0,0.0
"Chai, Valentino Emil",1,0,0.0
"Wu, Jian",3,0,0.0
"Wu, Min-Lin (Winnie)",1,0,0.0
"Tan, Mabel Hwee Joo",1,0,0.0
"Tan, Kok Hian",1,0,0.0
"Jiang, Eric X.",1,0,0.0
"Teng, Jia Ying",1,0,0.0
"Huang, Jiaxing",1,0,0.0
"Tan, Clement Woon Teck",1,0,0.0
"Qian, Jingjing",1,0,0.0
"Wang, Weitian",1,1,1.0
"Zhu, Michelle",1,1,1.0
"Chu, Larry F.",1,0,0.0
"Li, Xuanyi",1,0,0.0
"Wen, Wen",1,0,0.0
"Hong, Wei -Han",1,1,1.0
"Tan, Christina Phoay Lay",2,1,0.5
"Liao, Gary",1,0,0.0
"Huan, Chin",1,1,1.0
"Wei, Sujun",2,0,0.0
"Song, Lynn",1,1,1.0
"Li, Fan",3,1,0.3333
"Wang, Yanjun",5,3,0.6
Li Tan,1,0,0.0
"Lin, Steven",1,1,1.0
"Teng, Valerie",1,1,1.0
"Zhao, Yijun",2,0,0.0
"Huang, Jonathan",1,0,0.0
"Sun, Michael",1,0,0.0
"Guo, Meize",3,1,0.3333
"Tan, Sema",1,0,0.0
"Zhu, Xiaotong",4,0,0.0
"Kang, Joohoon",2,0,0.0
"Yu, Junxiu",1,0,0.0
"Le, Andrew",2,0,0.0
"Wu, Jia Rung",1,0,0.0
"Hou, Hanchao",1,0,0.0
"Yang, Albert C. M.",1,0,0.0
"Lu, Daniel",1,1,1.0
"Ruan, Brandon",1,1,1.0
"Su, Timothy A.",1,0,0.0
"Su, Man",1,0,0.0
"Xie, Yue",1,0,0.0
"Chen, Hung-Hsin",1,0,0.0
"Yue, Xiao-Guang",1,0,0.0
"Er, Hui-Meng",1,0,0.0
"Zhang, Fa",1,0,0.0
"Liu, Huan",1,0,0.0
"Wang, Lisi",2,2,1.0
"Yan, Veronica X.",6,3,0.5
"Hong, Maxwell R.",1,1,1.0
"Liu, Cheng",2,2,1.0
"Luo, Jiaxi",2,0,0.0
